10000,[1.17204173 0.74789315],[1.23637976 0.78318385],[1.27928701 0.82870406],[1.32602508 0.87791445],[1.36892488 0.92279014],[1.37313003 0.93356637],[1.37199443 0.93917921],[1.36792467 0.94164861],[1.36223461 0.94214461],[1.3556999 0.9413906],[1.34882716 0.93987649],[1.3418912  0.93788878],[1.33507217 0.9356275 ]
20000,[1.17204173 0.74789315],[1.22508927 0.7857876 ],[1.25579987 0.83020612],[1.2922045  0.87900472],[1.33215922 0.92867053],[1.37080818 0.97523835],[1.37729796 0.98884254],[1.37900404 0.99658508],[1.37801826 1.00065379],[1.37550415 1.00235534],[1.37211789 1.00248891],[1.3682545  1.00157313],[1.36416389 0.9999606 ]
30000,[1.17204173 0.74789315],[1.23748343 0.78399892],[1.28071981 0.82924383],[1.32765772 0.8783628 ],[1.37631894 0.92790716],[1.39182539 0.94775816],[1.39727011 0.958098  ],[1.39956979 0.9651594 ],[1.40005834 0.97016087],[1.39945666 0.9738058 ],[1.39817627 0.97652403],[1.39646419 0.97859292],[1.39447596 0.98020018]
40000,[1.17204173 0.74789315],[1.23597094 0.78289856],[1.27926817 0.82868083],[1.32651316 0.87801851],[1.37462746 0.92692326],[1.38738723 0.94426966],[1.39465765 0.95621701],[1.39971396 0.96569135],[1.40369837 0.97379107],[1.40718838 0.98114588],[1.41046931 0.98812906],[1.4136641  0.99496216],[1.41680559 1.00177521]
50000,[1.17204173 0.74789315],[1.16421503 0.78529907],[1.14134438 0.82988648],[1.13321294 0.87916337],[1.13798254 0.92956253],[1.15657957 0.97656739],[1.18799957 1.02178288],[1.22165078 1.07146464],[1.25596792 1.12268475],[1.29409141 1.17377924],[1.31699892 1.20175808],[1.33111137 1.2175685 ],[1.34012515 1.22720724]
60000,[1.17204173 0.74789315],[1.16243593 0.78915446],[1.13765814 0.83328237],[1.14743949 0.88269486],[1.17894319 0.9333453 ],[1.22169032 0.98453619],[1.26919101 1.03610747],[1.31896463 1.08810938],[1.36997023 1.14075403],[1.42161533 1.19434959],[1.47315346 1.24906387],[1.52357837 1.30442551],[1.57259228 1.35832511]
70000,[1.17204173 0.74789315],[1.24005287 0.78689528],[1.28062573 0.83129337],[1.32731901 0.87979552],[1.37728345 0.9297121 ],[1.42918894 0.98041605],[1.48116564 1.03114365],[1.52554274 1.07541905],[1.56314252 1.11543255],[1.58940224 1.14897302],[1.60088517 1.17531914],[1.59989728 1.19731036],[1.59131838 1.2182225 ]
80000,[1.17204173 0.74789315],[1.15414696 0.78447603],[1.11748061 0.82882677],[1.10088142 0.87764436],[1.09835629 0.92338996],[1.10594856 0.93616947],[1.11352572 0.94142431],[1.12054814 0.94752279],[1.12693354 0.95374057],[1.13301489 0.95999877],[1.13885994 0.96636607],[1.14452754 0.97283257],[1.15002709 0.97939204]
90000,[1.17204173 0.74789315],[1.23771479 0.78711943],[1.27853986 0.8324079 ],[1.32417201 0.88176361],[1.37297694 0.93266247],[1.41614915 0.97940444],[1.42965917 1.00674803],[1.4326422  1.02991746],[1.42813271 1.05121808],[1.41895454 1.07209053],[1.40728736 1.09314414],[1.39462969 1.11441395],[1.38204844 1.13563816]
100000,[1.17204173 0.74789315],[1.23370814 0.78197266],[1.27665952 0.82839263],[1.32357783 0.87792806],[1.35221103 0.91146954],[1.35230985 0.92031959],[1.34839915 0.92521569],[1.34229046 0.92764924],[1.33500064 0.92850527],[1.32712835 0.92832859],[1.31904275 0.92747141],[1.3109816 0.926173 ],[1.30310222 0.92460204]
110000,[1.17204173 0.74789315],[1.23378552 0.78236797],[1.27704796 0.82863486],[1.32417607 0.87809238],[1.35841462 0.91581088],[1.36003775 0.92482221],[1.35743069 0.9296591 ],[1.35308756 0.93242569],[1.34827301 0.93424696],[1.34355772 0.93566598],[1.33916826 0.9369238 ],[1.33516181 0.9381074 ],[1.33152259 0.93923514]
120000,[1.17204173 0.74789315],[1.22343461 0.78188584],[1.2598325  0.82834612],[1.30396608 0.87791583],[1.34112016 0.91914707],[1.34319445 0.92869527],[1.34072164 0.93358733],[1.3358825  0.93571408],[1.32979663 0.93611514],[1.32305504 0.93536667],[1.3160553  0.93388728],[1.30902586 0.93194857],[1.30214299 0.92975839]
130000,[1.17204173 0.74789315],[1.22699456 0.77950761],[1.26745339 0.829446  ],[1.30314735 0.87107517],[1.30912511 0.88855434],[1.310142   0.90311521],[1.30729624 0.91569512],[1.30154411 0.9265932 ],[1.29467942 0.93594005],[1.28700516 0.94397928],[1.27876627 0.95091238],[1.27018131 0.95692179],[1.26143425 0.96216435]
140000,[1.17204173 0.74789315],[1.2268062  0.78042324],[1.26762287 0.83281566],[1.29933499 0.87178546],[1.306632   0.89040982],[1.3100387  0.90479693],[1.31035641 0.91534285],[1.30847215 0.92239748],[1.30501999 0.92649681],[1.3003531  0.92828575],[1.2949572  0.92843728],[1.28924867 0.9275168 ],[1.28352563 0.92594564]
150000,[1.17204173 0.74789315],[1.23900587 0.78539998],[1.28156398 0.83028882],[1.32801648 0.8794063 ],[1.37685426 0.92909439],[1.40105512 0.95665206],[1.40817447 0.96855549],[1.40911464 0.97451415],[1.40599305 0.97637357],[1.40029842 0.97549255],[1.39345773 0.97321337],[1.38598793 0.97003717],[1.37826485 0.96633782]
160000,[1.17204173 0.74789315],[1.13285916 0.78070866],[1.07611142 0.82709556],[1.02342171 0.87663226],[0.97260999 0.92654516],[0.92245714 0.97650082],[0.8722088 1.0203846],[0.82198892 1.04580256],[0.77278077 1.0601151 ],[0.73363929 1.06752672],[0.70087054 1.06897687],[0.68145016 1.07187026],[0.66741673 1.07150881]
170000,[1.17204173 0.74789315],[1.20031535 0.78156142],[1.22306581 0.82819989],[1.25972956 0.87674088],[1.26139875 0.88668689],[1.26006599 0.89254964],[1.25781873 0.89658627],[1.25529546 0.89958871],[1.25279904 0.90197329],[1.25046318 0.90396224],[1.24833797 0.90567704],[1.24643342 0.90718684],[1.24474117 0.90853337]
180000,[1.17204173 0.74789315],[1.17421823 0.78273505],[1.17291417 0.8283692 ],[1.19234172 0.87768713],[1.20903455 0.90892931],[1.21347548 0.91780348],[1.21753635 0.92374676],[1.22159021 0.9280141 ],[1.22564415 0.93120277],[1.22962511 0.9336355 ],[1.23345904 0.93550586],[1.23708969 0.9369421 ],[1.24048039 0.93803665]
190000,[1.17204173 0.74789315],[1.2308247  0.78523917],[1.24717784 0.82842464],[1.23868506 0.85470463],[1.23029016 0.87138293],[1.22361651 0.88003852],[1.22017187 0.88479622],[1.21895699 0.88763556],[1.21848463 0.88917569],[1.21781642 0.89014134],[1.21679922 0.89055819],[1.21560575 0.89065665],[1.21441107 0.89068279]
200000,[1.17204173 0.74789315],[1.17849105 0.78139872],[1.19791523 0.82791008],[1.23454318 0.8773182 ],[1.24337582 0.89171821],[1.24372194 0.89646456],[1.2422792  0.89887353],[1.2400555  0.90010598],[1.23755248 0.90075123],[1.23501541 0.90110777],[1.23255945 0.90132562],[1.23023476 0.90147948],[1.22805923 0.90160601]
210000,[1.17204173 0.74789315],[1.1461078  0.78703982],[1.09391219 0.80486997],[1.0953363  0.85139204],[1.14232638 0.90031992],[1.19480577 0.95095456],[1.24930429 1.00613738],[1.29759853 1.0651188 ],[1.34293758 1.1200417 ],[1.39014456 1.17153906],[1.40102498 1.19772574],[1.39093015 1.2083427 ],[1.37997032 1.21663813]
220000,[1.17204173 0.74789315],[1.23733022 0.78410692],[1.28083109 0.82975542],[1.31455886 0.86748049],[1.31586574 0.87450761],[1.31540736 0.87942951],[1.31416942 0.88314963],[1.31257879 0.88610598],[1.3108663  0.88855075],[1.3091547  0.89063235],[1.30750844 0.89244161],[1.30596008 0.89403675],[1.30452456 0.89545721]
230000,[1.17204173 0.74789315],[1.23396396 0.78212849],[1.27705012 0.82857988],[1.30401899 0.86164782],[1.30064233 0.86767327],[1.29590463 0.87173921],[1.29076311 0.87470502],[1.28566654 0.87702154],[1.28082182 0.87893187],[1.27631316 0.88056852],[1.27216445 0.88200608],[1.26837074 0.88328866],[1.26491405 0.88444415]
240000,[1.17204173 0.74789315],[1.14349917 0.77935534],[1.12378388 0.83006841],[1.15731176 0.87819301],[1.20279786 0.92610793],[1.23385695 0.95340004],[1.25311796 0.96824212],[1.265827   0.97685734],[1.2745648  0.98186553],[1.28088447 0.98473702],[1.28557232 0.98634668],[1.28915896 0.9871979 ],[1.29196622 0.98759347]
250000,[1.17204173 0.74789315],[1.23690216 0.78388055],[1.27990501 0.82938106],[1.3161734  0.86949797],[1.31745619 0.87693015],[1.31700242 0.8821738 ],[1.31583715 0.88618492],[1.31442273 0.88944479],[1.31298268 0.89221475],[1.31161975 0.89463966],[1.3103763  0.89680278],[1.30926491 0.89875451],[1.30828377 0.90052742]
260000,[1.17204173 0.74789315],[1.14850035 0.77969549],[1.11452221 0.82728098],[1.11226091 0.87759803],[1.12599162 0.91405228],[1.12931353 0.92500794],[1.12888884 0.93139821],[1.12569731 0.93646393],[1.12080407 0.9408869 ],[1.11461233 0.94689841],[1.10822391 0.95537625],[1.10261236 0.96663161],[1.09861995 0.98217515]
270000,[1.17204173 0.74789315],[1.20997679 0.7814925 ],[1.22920797 0.83104147],[1.25075005 0.87704367],[1.28335627 0.9245795 ],[1.30825994 0.95846812],[1.31096623 0.97214908],[1.30566935 0.98106928],[1.2931168  0.98759924],[1.277441  0.9922332],[1.26073123 0.99536377],[1.2452275 0.9962014],[1.23213778 0.99578458]
280000,[1.17204173 0.74789315],[1.20824459 0.78019836],[1.23769367 0.82792259],[1.27940296 0.87791102],[1.30957031 0.911311  ],[1.31601084 0.92332381],[1.31779659 0.93183556],[1.31688244 0.93797783],[1.31476053 0.94213818],[1.31169971 0.94468823],[1.3079293  0.94595961],[1.30364739 0.94624845],[1.2989408  0.94577585]
290000,[1.17204173 0.74789315],[1.17386943 0.78193881],[1.19085247 0.8292279 ],[1.22863928 0.87966513],[1.25231429 0.91286952],[1.25448761 0.92722618],[1.25329071 0.93808497],[1.25022732 0.94676461],[1.24620988 0.9540427 ],[1.2417808  0.96037972],[1.23725344 0.96604583],[1.23280548 0.9712    ],[1.22853507 0.97593679]
300000,[1.17204173 0.74789315],[1.14196704 0.79313877],[1.08416173 0.83587093],[1.03042169 0.88410155],[0.97858155 0.93355077],[0.95434888 0.94186915],[0.96521531 0.9187549 ],[0.94929379 0.90870647],[0.93233134 0.90946191],[0.92979173 0.91089187],[0.93227938 0.91045617],[0.93388349 0.90864474],[0.93247088 0.90741678]
310000,[1.17204173 0.74789315],[1.16695409 0.7792132 ],[1.14201136 0.83180275],[1.14074684 0.88608005],[1.14663606 0.93569681],[1.15953292 0.984187  ],[1.16998638 1.0362207 ],[1.1914058 1.0865916],[1.19839375 1.13751246],[1.2069697  1.18255079],[1.2192346  1.21971621],[1.23652203 1.25207093],[1.2556529  1.27824075]
320000,[1.17204173 0.74789315],[1.21144925 0.782109  ],[1.23434757 0.82979267],[1.265587   0.88151598],[1.28726637 0.92474027],[1.31609798 0.96940884],[1.3476544  1.01109322],[1.37023971 1.04022715],[1.37512014 1.04926897],[1.36906938 1.04692349],[1.36138073 1.04342649],[1.35449768 1.04077135],[1.34876105 1.03896449]
330000,[1.17204173 0.74789315],[1.2322023  0.78248117],[1.27378004 0.82981273],[1.29998455 0.86660301],[1.29819022 0.88360766],[1.29807712 0.90120241],[1.30033239 0.91957335],[1.30492415 0.93818995],[1.31094453 0.95588066],[1.32016143 0.9739257 ],[1.33126674 0.99102781],[1.33998485 1.00365592],[1.34456943 1.01074141]
340000,[1.17204173 0.74789315],[1.2344897  0.78242749],[1.27750472 0.82861622],[1.32435671 0.877953  ],[1.34256244 0.90165132],[1.35289898 0.91727294],[1.3635412  0.93227884],[1.37539178 0.94798633],[1.38842269 0.96535759],[1.40139921 0.98478303],[1.40859375 1.00444562],[1.3975178  1.01696262],[1.36690143 1.01654862]
350000,[1.17204173 0.74789315],[1.23430881 0.79068995],[1.27960377 0.83397283],[1.32406188 0.88116379],[1.36845631 0.9300691 ],[1.40769821 0.97607495],[1.40995959 0.99108873],[1.40982131 1.0073286 ],[1.40991266 1.02660126],[1.40957024 1.04834982],[1.40779006 1.07174595],[1.40383989 1.09503596],[1.39737799 1.11512613]
360000,[1.17204173 0.74789315],[1.23583148 0.7829419 ],[1.27910343 0.82883851],[1.32646989 0.87820644],[1.35800384 0.91246198],[1.38037663 0.9378618 ],[1.40415835 0.96556249],[1.42591659 0.9936563 ],[1.44409653 1.02174427],[1.45680399 1.04865821],[1.46336774 1.07350618],[1.4646506  1.09592215],[1.46300385 1.1156741 ]
370000,[1.17204173 0.74789315],[1.22454791 0.7826822 ],[1.26028218 0.82859717],[1.30367161 0.87810299],[1.35003735 0.92768626],[1.37261769 0.9540013 ],[1.38787866 0.97323933],[1.39861329 0.98844471],[1.40616085 1.00102266],[1.41135138 1.01181792],[1.41475762 1.02139571],[1.41678711 1.03014924],[1.41773018 1.03835528]
380000,[1.17204173 0.74789315],[1.23463255 0.78249656],[1.27721323 0.82865953],[1.30539022 0.86267707],[1.30280764 0.86879066],[1.29885552 0.87294114],[1.29447011 0.87598559],[1.29009818 0.87837959],[1.28594633 0.88036958],[1.28209997 0.88209018],[1.27856794 0.8836105 ],[1.27534829 0.88497616],[1.27242761 0.88621637]
390000,[1.17204173 0.74789315],[1.1856125  0.78161369],[1.19657402 0.8279349 ],[1.23437572 0.87745613],[1.27929046 0.92749445],[1.28871221 0.94229248],[1.30023583 0.97300281],[1.35320785 1.03274358],[1.40638753 1.08863107],[1.45847441 1.14246142],[1.50972998 1.19562822],[1.5472588  1.24293661],[1.54228931 1.27199617]
400000,[1.17204173 0.74789315],[1.2379892  0.78479712],[1.28123088 0.83003855],[1.32214072 0.87385253],[1.32777549 0.88457358],[1.33158888 0.89312694],[1.33446527 0.90036176],[1.33680161 0.90671197],[1.33877154 0.91239785],[1.34049308 0.9175788 ],[1.34203633 0.92236365],[1.34335629 0.9267082 ],[1.34447622 0.93064297]
410000,[1.17204173 0.74789315],[1.13536482 0.81306544],[1.09208122 0.87452025],[1.04774086 0.92323379],[1.00672904 0.95281742],[0.97780108 0.97370692],[0.95584106 0.98946147],[0.94174516 1.001896  ],[0.93501517 1.01385929],[0.93575926 1.02707487],[0.94689386 1.04706884],[0.97279832 1.07548889],[1.00288291 1.11736937]
420000,[1.17204173 0.74789315],[1.17033719 0.78913127],[1.17082414 0.83222052],[1.19456526 0.88080545],[1.21435606 0.91155299],[1.22665374 0.92659602],[1.23893897 0.93863322],[1.25025803 0.94798537],[1.26029423 0.95507512],[1.26902283 0.96033999],[1.27654491 0.96417718],[1.28300399 0.9669226 ],[1.28854778 0.9688483 ]
430000,[1.17204173 0.74789315],[1.20783123 0.7794514 ],[1.16038867 0.761348  ],[1.1221359  0.79561772],[1.10762837 0.82700396],[1.11567449 0.85871089],[1.13245348 0.89853354],[1.14642948 0.94859753],[1.1534821  0.98413753],[1.17070495 1.00954742],[1.18949774 1.02932509],[1.20618576 1.04389438],[1.22035202 1.05412903]
440000,[1.17204173 0.74789315],[1.28762283 0.81841056],[1.22878636 0.86136625],[1.27891064 0.90080157],[1.29221445 0.92511095],[1.3025819 0.942994 ],[1.31198873 0.95680029],[1.31945896 0.96679735],[1.32508603 0.97370933],[1.32920668 0.97857303],[1.33234377 0.98200327],[1.33479088 0.98442283],[1.33674125 0.98613783]
450000,[1.17204173 0.74789315],[1.20465807 0.78821659],[1.24869634 0.83375836],[1.29557615 0.8843479 ],[1.34389222 0.93659105],[1.39240814 0.98926029],[1.44066831 1.04141396],[1.45992184 1.07638346],[1.46543224 1.10249467],[1.46602681 1.12326542],[1.4627643  1.13937975],[1.45653367 1.15124694],[1.44817525 1.15926355]
460000,[1.17204173 0.74789315],[1.2339755  0.78213433],[1.27710826 0.82849006],[1.3241802  0.87799476],[1.35639671 0.91422441],[1.35827383 0.92386309],[1.35560096 0.92897877],[1.35045254 0.93129379],[1.34397731 0.93182864],[1.33685657 0.93122318],[1.32950308 0.92988953],[1.32217544 0.92810421],[1.31503828 0.92605826]
470000,[1.17204173 0.74789315],[1.15518338 0.78132033],[1.15153297 0.8276444 ],[1.17905489 0.877148  ],[1.19614083 0.91022234],[1.19492372 0.91839383],[1.19206756 0.92285203],[1.18912753 0.92524999],[1.1869302 0.9263693],[1.18503417 0.92685465],[1.18331403 0.92703128],[1.18172869 0.92706473],[1.18026203 0.92703845]
480000,[1.17204173 0.74789315],[1.09534398 0.79053082],[1.02674392 0.768986  ],[0.97579074 0.76484057],[0.97577524 0.78067043],[0.99870564 0.81001258],[1.02662853 0.8527498 ],[1.07366515 0.90220108],[1.11768394 0.95204535],[1.15600418 1.00098791],[1.17336508 1.03924999],[1.18771664 1.06724588],[1.19848215 1.08937984]
490000,[1.17204173 0.74789315],[1.14618358 0.78120169],[1.13393093 0.82753047],[1.16035729 0.87704209],[1.18092661 0.91668037],[1.1781969  0.92636305],[1.17433687 0.93174712],[1.17030388 0.93486719],[1.1664406  0.93677858],[1.16283787 0.93804169],[1.15951159 0.9389508 ],[1.15644791 0.93966169],[1.15362318 0.94025781]
500000,[1.17204173 0.74789315],[1.1346522  0.78096569],[1.11508919 0.82731027],[1.16115054 0.8768292 ],[1.2101499  0.92675144],[1.25974023 0.97642803],[1.28195253 0.99267896],[1.29043012 0.99586613],[1.29346056 0.99494492],[1.29354896 0.99180856],[1.29219813 0.9873605 ],[1.28990634 0.98214499],[1.28701386 0.97652765]
510000,[1.17204173 0.74789315],[1.2369087 0.7761391],[1.18397122 0.80483732],[1.22074271 0.85766247],[1.23633408 0.89303378],[1.24677822 0.92458925],[1.25177881 0.95123187],[1.25263817 0.97316235],[1.25070698 0.99079001],[1.24705544 1.00463441],[1.24250763 1.01523127],[1.23768745 1.02314209],[1.23303835 1.02891636]
