10000,[1.17204173 0.74789315],[1.13788161 0.7903429 ],[1.09899643 0.8346692 ],[1.05850902 0.87868135],[1.01739531 0.92249579],[0.97595202 0.96630857],[0.9342852  1.01020438],[0.89242524 1.05422986],[0.85038507 1.09840032],[0.80816835 1.14271984],[0.76577583 1.18718845],[0.7447139  1.21218863],[0.73518306 1.22602403]
20000,[1.17204173 0.74789315],[1.12576414 0.79700208],[1.07716048 0.84679324],[1.02796145 0.89641625],[0.97857293 0.94595198],[0.92910843 0.99547442],[0.87960269 1.04501482],[0.83006625 1.09458787],[0.78049668 1.14420036],[0.73763889 1.18384781],[0.71321422 1.19881277],[0.69586163 1.20660636],[0.68254307 1.21130413]
30000,[1.17204173 0.74789315],[1.12496074 0.7975349 ],[1.07574523 0.84774411],[1.02602527 0.89777643],[0.97616516 0.94770845],[0.92626395 0.99760756],[0.87635115 1.04750338],[0.82643315 1.09741063],[0.77650554 1.14733829],[0.73519761 1.18440372],[0.71088015 1.19855959],[0.69327881 1.20607431],[0.67964672 1.21064096]
40000,[1.17204173 0.74789315],[1.12487757 0.79760057],[1.07560991 0.84785411],[1.02584971 0.89792804],[0.97595559 0.94789895],[0.92602437 0.99783378],[0.87608473 1.04776216],[0.82614239 1.09769947],[0.77619287 1.14765432],[0.73494223 1.18414193],[0.71052689 1.1979181 ],[0.69282729 1.20521523],[0.67912183 1.20965266]
50000,[1.17204173 0.74789315],[1.12487168 0.79760774],[1.07560004 0.84786573],[1.02583737 0.89794352],[0.97594122 0.94791782],[0.92600839 0.99785582],[0.8760674 1.047787 ],[0.82612408 1.09772654],[0.7761736  1.14768346],[0.73505852 1.18430451],[0.71070168 1.19823778],[0.69302813 1.20564361],[0.67932953 1.21014953]
60000,[1.17204173 0.74789315],[1.12487119 0.79760851],[1.07559928 0.84786694],[1.02583646 0.8979451 ],[0.97594025 0.94791982],[0.92600737 0.99785811],[0.87606633 1.04778954],[0.82612297 1.09772929],[0.77617247 1.14768639],[0.73505842 1.18430422],[0.71070127 1.19823582],[0.69302718 1.20564081],[0.67932806 1.21014629]
70000,[1.17204173 0.74789315],[1.12487115 0.79760859],[1.07559922 0.84786707],[1.02583639 0.89794526],[0.97594019 0.94792001],[0.92600729 0.99785832],[0.87606626 1.04778977],[0.8261229  1.09772952],[0.77617239 1.14768664],[0.73505848 1.18430417],[0.71070132 1.19823566],[0.6930272  1.20564061],[0.67932802 1.21014607]
80000,[1.17204173 0.74789315],[1.12487115 0.79760861],[1.07559922 0.84786709],[1.02583639 0.89794528],[0.97594018 0.94792004],[0.92600729 0.99785836],[0.87606625 1.04778981],[0.8261229  1.09772958],[0.77617239 1.14768669],[0.7350585  1.18430418],[0.71070133 1.19823566],[0.6930272 1.2056406],[0.67932804 1.21014604]
90000,[1.17204173 0.74789315],[1.12487115 0.79760861],[1.07559921 0.84786708],[1.02583638 0.89794529],[0.97594018 0.94792005],[0.92600729 0.99785837],[0.87606625 1.04778982],[0.8261229  1.09772959],[0.77617239 1.14768671],[0.7350585 1.1843042],[0.71070135 1.19823565],[0.69302722 1.20564059],[0.67932803 1.21014604]
100000,[1.17204173 0.74789315],[1.12487115 0.79760861],[1.07559921 0.84786709],[1.02583639 0.89794529],[0.97594018 0.94792005],[0.92600729 0.99785837],[0.87606625 1.04778982],[0.8261229  1.09772959],[0.77617239 1.1476867 ],[0.7350585  1.18430418],[0.71070134 1.19823565],[0.69302721 1.20564059],[0.67932803 1.21014603]
110000,[1.17204173 0.74789315],[1.12487115 0.7976086 ],[1.07559922 0.84786709],[1.02583639 0.89794529],[0.97594018 0.94792005],[0.92600729 0.99785837],[0.87606625 1.04778982],[0.8261229  1.09772959],[0.77617239 1.14768671],[0.7350585  1.18430418],[0.71070134 1.19823565],[0.69302721 1.20564059],[0.67932803 1.21014603]
120000,[1.17204173 0.74789315],[1.12487115 0.79760861],[1.07559921 0.84786709],[1.02583638 0.89794529],[0.97594018 0.94792005],[0.92600729 0.99785837],[0.87606626 1.04778982],[0.8261229  1.09772959],[0.77617239 1.14768671],[0.7350585  1.18430418],[0.71070134 1.19823564],[0.69302721 1.20564058],[0.67932803 1.21014602]
130000,[1.17204173 0.74789315],[1.12487115 0.7976086 ],[1.07559921 0.84786709],[1.02583639 0.89794529],[0.97594018 0.94792005],[0.92600729 0.99785837],[0.87606625 1.04778982],[0.8261229  1.09772959],[0.77617239 1.14768671],[0.73505851 1.18430418],[0.71070134 1.19823564],[0.69302721 1.20564058],[0.67932803 1.21014602]
140000,[1.17204173 0.74789315],[1.12487115 0.7976086 ],[1.07559922 0.84786709],[1.02583639 0.89794529],[0.97594018 0.94792005],[0.92600729 0.99785837],[0.87606625 1.04778982],[0.8261229  1.09772959],[0.77617239 1.14768671],[0.7350585  1.18430418],[0.71070134 1.19823565],[0.69302721 1.20564058],[0.67932803 1.21014603]
150000,[1.17204173 0.74789315],[1.12487115 0.79760861],[1.07559922 0.84786709],[1.02583639 0.89794529],[0.97594018 0.94792005],[0.92600729 0.99785837],[0.87606625 1.04778982],[0.8261229  1.09772959],[0.77617239 1.14768671],[0.73505851 1.18430418],[0.71070134 1.19823564],[0.69302721 1.20564058],[0.67932803 1.21014602]
160000,[1.17204173 0.74789315],[1.12487115 0.7976086 ],[1.07559921 0.84786709],[1.02583638 0.89794529],[0.97594018 0.94792005],[0.92600729 0.99785837],[0.87606625 1.04778982],[0.8261229  1.09772959],[0.77617239 1.14768671],[0.73505851 1.18430418],[0.71070134 1.19823564],[0.69302721 1.20564058],[0.67932803 1.21014602]
170000,[1.17204173 0.74789315],[1.12487115 0.79760861],[1.07559921 0.84786709],[1.02583639 0.89794529],[0.97594018 0.94792005],[0.92600729 0.99785837],[0.87606625 1.04778982],[0.8261229  1.09772959],[0.77617239 1.14768671],[0.73505851 1.18430418],[0.71070134 1.19823564],[0.69302721 1.20564058],[0.67932803 1.21014602]
180000,[1.17204173 0.74789315],[1.12487115 0.7976086 ],[1.07559922 0.84786708],[1.02583639 0.89794529],[0.97594018 0.94792005],[0.92600729 0.99785837],[0.87606625 1.04778982],[0.8261229  1.09772959],[0.77617239 1.14768671],[0.73505851 1.18430418],[0.71070134 1.19823564],[0.69302721 1.20564058],[0.67932804 1.21014602]
190000,[1.17204173 0.74789315],[1.12487115 0.7976086 ],[1.07559921 0.84786708],[1.02583639 0.89794529],[0.97594018 0.94792005],[0.92600729 0.99785837],[0.87606625 1.04778982],[0.8261229  1.09772959],[0.77617239 1.14768671],[0.73505851 1.18430418],[0.71070134 1.19823564],[0.69302721 1.20564058],[0.67932803 1.21014602]
200000,[1.17204173 0.74789315],[1.12487115 0.7976086 ],[1.07559922 0.84786709],[1.02583639 0.89794529],[0.97594018 0.94792005],[0.92600729 0.99785837],[0.87606625 1.04778982],[0.8261229  1.09772959],[0.77617239 1.14768671],[0.73505851 1.18430418],[0.71070134 1.19823564],[0.69302721 1.20564058],[0.67932803 1.21014602]
210000,[1.17204173 0.74789315],[1.12487115 0.7976086 ],[1.07559921 0.84786709],[1.02583639 0.89794529],[0.97594018 0.94792005],[0.92600729 0.99785837],[0.87606625 1.04778982],[0.8261229  1.09772959],[0.77617239 1.14768671],[0.73505851 1.18430418],[0.71070134 1.19823564],[0.69302721 1.20564058],[0.67932803 1.21014602]
220000,[1.17204173 0.74789315],[1.12487115 0.79760861],[1.07559921 0.84786709],[1.02583638 0.89794529],[0.97594018 0.94792005],[0.92600729 0.99785837],[0.87606625 1.04778982],[0.8261229  1.09772959],[0.77617239 1.14768671],[0.73505851 1.18430417],[0.71070134 1.19823564],[0.69302721 1.20564057],[0.67932803 1.21014602]
230000,[1.17204173 0.74789315],[1.12487115 0.79760861],[1.07559921 0.84786709],[1.02583639 0.89794529],[0.97594018 0.94792005],[0.92600729 0.99785837],[0.87606625 1.04778982],[0.8261229  1.09772959],[0.77617239 1.14768671],[0.73505851 1.18430417],[0.71070134 1.19823564],[0.69302721 1.20564058],[0.67932803 1.21014602]
240000,[1.17204173 0.74789315],[1.12487115 0.79760861],[1.07559921 0.84786709],[1.02583639 0.89794529],[0.97594018 0.94792005],[0.92600729 0.99785837],[0.87606625 1.04778982],[0.8261229  1.09772959],[0.77617239 1.14768671],[0.73505851 1.18430417],[0.71070134 1.19823564],[0.69302721 1.20564058],[0.67932803 1.21014602]
250000,[1.17204173 0.74789315],[1.12487115 0.79760861],[1.07559921 0.84786709],[1.02583638 0.89794529],[0.97594018 0.94792005],[0.92600729 0.99785837],[0.87606625 1.04778982],[0.8261229  1.09772959],[0.77617239 1.14768671],[0.7350585  1.18430418],[0.71070134 1.19823564],[0.69302721 1.20564058],[0.67932803 1.21014602]
260000,[1.17204173 0.74789315],[1.12487115 0.79760861],[1.07559921 0.84786709],[1.02583639 0.89794529],[0.97594018 0.94792005],[0.92600729 0.99785837],[0.87606625 1.04778982],[0.8261229  1.09772959],[0.77617239 1.14768671],[0.7350585  1.18430418],[0.71070134 1.19823564],[0.69302721 1.20564058],[0.67932803 1.21014602]
270000,[1.17204173 0.74789315],[1.12487115 0.79760861],[1.07559921 0.84786709],[1.02583639 0.89794529],[0.97594018 0.94792005],[0.92600729 0.99785837],[0.87606625 1.04778982],[0.8261229  1.09772959],[0.77617239 1.14768671],[0.73505851 1.18430418],[0.71070134 1.19823564],[0.69302721 1.20564058],[0.67932803 1.21014602]
280000,[1.17204173 0.74789315],[1.12487115 0.7976086 ],[1.07559921 0.84786709],[1.02583639 0.89794529],[0.97594018 0.94792005],[0.92600729 0.99785837],[0.87606625 1.04778982],[0.8261229  1.09772959],[0.77617239 1.14768671],[0.73505851 1.18430417],[0.71070134 1.19823564],[0.69302721 1.20564058],[0.67932803 1.21014602]
290000,[1.17204173 0.74789315],[1.12487115 0.79760861],[1.07559921 0.84786709],[1.02583638 0.89794529],[0.97594018 0.94792005],[0.92600729 0.99785837],[0.87606625 1.04778982],[0.8261229  1.09772959],[0.77617239 1.14768671],[0.7350585  1.18430418],[0.71070134 1.19823564],[0.69302721 1.20564058],[0.67932803 1.21014602]
300000,[1.17204173 0.74789315],[1.12487115 0.79760861],[1.07559921 0.84786709],[1.02583639 0.89794529],[0.97594018 0.94792005],[0.92600729 0.99785837],[0.87606625 1.04778982],[0.8261229  1.09772959],[0.77617239 1.14768671],[0.73505851 1.18430417],[0.71070134 1.19823564],[0.69302721 1.20564058],[0.67932803 1.21014602]
310000,[1.17204173 0.74789315],[1.12487115 0.79760861],[1.07559921 0.84786709],[1.02583639 0.89794529],[0.97594018 0.94792005],[0.92600729 0.99785837],[0.87606625 1.04778982],[0.8261229  1.09772959],[0.77617239 1.14768671],[0.73505851 1.18430417],[0.71070134 1.19823564],[0.69302721 1.20564058],[0.67932803 1.21014602]
320000,[1.17204173 0.74789315],[1.12487115 0.79760861],[1.07559921 0.84786709],[1.02583639 0.89794529],[0.97594018 0.94792005],[0.92600729 0.99785837],[0.87606625 1.04778982],[0.8261229  1.09772959],[0.77617239 1.14768671],[0.73505851 1.18430417],[0.71070134 1.19823564],[0.69302721 1.20564058],[0.67932803 1.21014602]
330000,[1.17204173 0.74789315],[1.12487115 0.7976086 ],[1.07559921 0.84786709],[1.02583639 0.89794529],[0.97594018 0.94792005],[0.92600729 0.99785837],[0.87606625 1.04778982],[0.8261229  1.09772959],[0.77617239 1.14768671],[0.73505851 1.18430418],[0.71070134 1.19823564],[0.69302721 1.20564058],[0.67932803 1.21014602]
340000,[1.17204173 0.74789315],[1.12487115 0.79760861],[1.07559921 0.84786709],[1.02583639 0.89794529],[0.97594018 0.94792005],[0.92600729 0.99785837],[0.87606625 1.04778982],[0.8261229  1.09772959],[0.77617239 1.14768671],[0.73505851 1.18430417],[0.71070134 1.19823564],[0.69302721 1.20564058],[0.67932803 1.21014602]
350000,[1.17204173 0.74789315],[1.12487115 0.7976086 ],[1.07559921 0.84786709],[1.02583639 0.89794529],[0.97594018 0.94792005],[0.92600729 0.99785837],[0.87606625 1.04778982],[0.8261229  1.09772959],[0.77617239 1.14768671],[0.73505851 1.18430418],[0.71070134 1.19823564],[0.69302721 1.20564058],[0.67932803 1.21014602]
360000,[1.17204173 0.74789315],[1.12487115 0.79760861],[1.07559921 0.84786709],[1.02583638 0.89794529],[0.97594018 0.94792005],[0.92600729 0.99785837],[0.87606625 1.04778982],[0.8261229  1.09772959],[0.77617239 1.14768671],[0.73505851 1.18430417],[0.71070134 1.19823564],[0.69302721 1.20564058],[0.67932803 1.21014602]
370000,[1.17204173 0.74789315],[1.12487115 0.79760861],[1.07559921 0.84786709],[1.02583639 0.89794529],[0.97594018 0.94792005],[0.92600729 0.99785837],[0.87606625 1.04778982],[0.8261229  1.09772959],[0.77617239 1.14768671],[0.73505851 1.18430417],[0.71070134 1.19823564],[0.69302721 1.20564058],[0.67932803 1.21014602]
380000,[1.17204173 0.74789315],[1.12487115 0.79760861],[1.07559921 0.84786709],[1.02583639 0.89794529],[0.97594018 0.94792005],[0.92600729 0.99785837],[0.87606625 1.04778982],[0.8261229  1.09772959],[0.77617239 1.14768671],[0.73505851 1.18430417],[0.71070134 1.19823564],[0.69302721 1.20564058],[0.67932803 1.21014602]
390000,[1.17204173 0.74789315],[1.12487115 0.79760861],[1.07559921 0.84786709],[1.02583639 0.89794529],[0.97594018 0.94792005],[0.92600729 0.99785837],[0.87606625 1.04778982],[0.8261229  1.09772959],[0.77617239 1.14768671],[0.73505851 1.18430417],[0.71070134 1.19823564],[0.69302721 1.20564058],[0.67932803 1.21014602]
400000,[1.17204173 0.74789315],[1.12487115 0.79760861],[1.07559921 0.84786709],[1.02583639 0.89794529],[0.97594018 0.94792005],[0.92600729 0.99785837],[0.87606625 1.04778982],[0.8261229  1.09772959],[0.77617239 1.14768671],[0.73505851 1.18430417],[0.71070134 1.19823564],[0.69302721 1.20564058],[0.67932803 1.21014602]
410000,[1.17204173 0.74789315],[1.12487115 0.79760861],[1.07559921 0.84786709],[1.02583639 0.89794529],[0.97594018 0.94792005],[0.92600729 0.99785837],[0.87606625 1.04778982],[0.8261229  1.09772959],[0.77617239 1.14768671],[0.73505851 1.18430417],[0.71070134 1.19823564],[0.69302721 1.20564058],[0.67932803 1.21014602]
420000,[1.17204173 0.74789315],[1.12487115 0.79760861],[1.07559921 0.84786709],[1.02583639 0.89794529],[0.97594018 0.94792005],[0.92600729 0.99785837],[0.87606625 1.04778982],[0.8261229  1.09772959],[0.77617239 1.14768671],[0.73505851 1.18430417],[0.71070134 1.19823564],[0.69302721 1.20564058],[0.67932803 1.21014602]
430000,[1.17204173 0.74789315],[1.12487115 0.79760861],[1.07559921 0.84786709],[1.02583639 0.89794529],[0.97594018 0.94792005],[0.92600729 0.99785837],[0.87606625 1.04778982],[0.8261229  1.09772959],[0.77617239 1.14768671],[0.73505851 1.18430417],[0.71070134 1.19823564],[0.69302721 1.20564058],[0.67932803 1.21014602]
440000,[1.17204173 0.74789315],[1.12487115 0.79760861],[1.07559921 0.84786709],[1.02583639 0.89794529],[0.97594018 0.94792005],[0.92600729 0.99785837],[0.87606625 1.04778982],[0.8261229  1.09772959],[0.77617239 1.14768671],[0.73505851 1.18430417],[0.71070134 1.19823564],[0.69302721 1.20564058],[0.67932803 1.21014602]
450000,[1.17204173 0.74789315],[1.12487115 0.79760861],[1.07559921 0.84786709],[1.02583639 0.89794529],[0.97594018 0.94792005],[0.92600729 0.99785837],[0.87606625 1.04778982],[0.8261229  1.09772959],[0.77617239 1.14768671],[0.73505851 1.18430417],[0.71070134 1.19823564],[0.69302721 1.20564058],[0.67932803 1.21014602]
460000,[1.17204173 0.74789315],[1.12487115 0.79760861],[1.07559921 0.84786709],[1.02583639 0.89794529],[0.97594018 0.94792005],[0.92600729 0.99785837],[0.87606625 1.04778982],[0.8261229  1.09772959],[0.77617239 1.14768671],[0.73505851 1.18430417],[0.71070134 1.19823564],[0.69302721 1.20564058],[0.67932803 1.21014602]
470000,[1.17204173 0.74789315],[1.12487115 0.7976086 ],[1.07559921 0.84786709],[1.02583639 0.89794529],[0.97594018 0.94792005],[0.92600729 0.99785837],[0.87606625 1.04778982],[0.8261229  1.09772959],[0.77617239 1.14768671],[0.73505851 1.18430418],[0.71070134 1.19823564],[0.69302721 1.20564058],[0.67932803 1.21014602]
480000,[1.17204173 0.74789315],[1.12487115 0.79760861],[1.07559921 0.84786709],[1.02583639 0.89794529],[0.97594018 0.94792005],[0.92600729 0.99785837],[0.87606625 1.04778982],[0.8261229  1.09772959],[0.77617239 1.14768671],[0.73505851 1.18430417],[0.71070134 1.19823564],[0.69302721 1.20564058],[0.67932803 1.21014602]
490000,[1.17204173 0.74789315],[1.12487115 0.79760861],[1.07559921 0.84786709],[1.02583639 0.89794529],[0.97594018 0.94792005],[0.92600729 0.99785837],[0.87606625 1.04778982],[0.8261229  1.09772959],[0.77617239 1.14768671],[0.73505851 1.18430417],[0.71070134 1.19823564],[0.69302721 1.20564058],[0.67932803 1.21014602]
500000,[1.17204173 0.74789315],[1.12487115 0.79760861],[1.07559921 0.84786709],[1.02583639 0.89794529],[0.97594018 0.94792005],[0.92600729 0.99785837],[0.87606625 1.04778982],[0.8261229  1.09772959],[0.77617239 1.14768671],[0.73505851 1.18430417],[0.71070134 1.19823564],[0.69302721 1.20564058],[0.67932803 1.21014602]
510000,[1.17204173 0.74789315],[1.12487115 0.79760861],[1.07559921 0.84786709],[1.02583639 0.89794529],[0.97594018 0.94792005],[0.92600729 0.99785837],[0.87606625 1.04778982],[0.8261229  1.09772959],[0.77617239 1.14768671],[0.73505851 1.18430417],[0.71070134 1.19823564],[0.69302721 1.20564058],[0.67932803 1.21014602]
